,Unnamed: 0,State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,males,females
0,0,Alabama,4830620,3.7516156462584975,61.878656462585,31.25297619047618,0.4532312925170065,1.0502551020408146,0.0343537414965986,43296.35860306644,2341093,2489527
1,1,Alaska,733375,5.909580838323351,60.910179640718574,2.848502994011977,16.39101796407186,5.450299401197604,1.0586826347305378,70354.74390243902,384160,349215
2,2,Arizona,6641928,29.565921052631506,57.120000000000026,3.8509868421052658,4.35506578947368,2.876578947368419,0.1676315789473683,54207.82095490716,3299088,3342840
3,3,Arkansas,2958208,6.215474452554738,71.13781021897813,18.968759124087573,0.5229197080291965,1.1423357664233578,0.1468613138686131,41935.63396778917,1451913,1506295
4,4,California,38421464,37.29187468796805,40.21578881677474,5.677396405391911,0.4052920619071368,13.052234148776776,0.3514103844233635,67264.78230266465,19087135,19334329
5,5,Colorado,5278906,20.78438003220608,69.89557165861504,3.546376811594201,0.5738325281803548,2.661996779388082,2.537842190016235,64657.801787164906,2648667,2630239
6,1,Connecticut,3593222,15.604830917874388,67.6770531400966,10.34806763285027,0.1262077294685989,4.021980676328502,0.0185990338164251,76146.5605875153,1751607,1841615
7,2,Delaware,926454,8.82476635514019,64.63271028037383,20.743925233644838,0.2598130841121496,3.2686915887850483,2.2700934579439576,61827.97663551402,448413,478041
8,3,District of Columbia,647484,9.1659217877095,33.103910614525134,51.77653631284915,0.2005586592178771,3.3832402234636865,0.029608938547486,75466.36363636363,306674,340810
9,4,Florida,19645772,21.3385426653884,59.08374880153398,15.165675934803444,0.2104506232023015,2.2831735378715257,0.0515100671140939,50690.194986743794,9600009,10045763
10,5,Georgia,10006693,8.418242207460397,54.28630556974962,32.08829841594277,0.1875830352580479,3.097649463464489,0.0466019417475728,50811.08205128205,4883331,5123362
11,1,Hawaii,1406299,9.186708860759486,25.032278481012657,2.052848101265823,0.1449367088607596,36.59208860759495,8.758860759493672,73264.42628205128,709871,696428
12,2,Idaho,1616547,11.50536912751678,83.1362416107383,0.5667785234899323,1.468120805369128,1.135906040268457,0.1271812080536914,48017.31543624161,810464,806083
13,3,Illinois,12873761,15.601733547351516,60.85980738362764,17.108410914927717,0.1184269662921349,4.475377207062604,0.0200321027287319,59587.04887459807,6316899,6556862
14,4,Indiana,6568645,6.536744186046501,78.43189368770771,11.18697674418606,0.1940863787375415,1.5782724252491689,0.0326245847176079,48616.22784810127,3235263,3333382
15,5,Iowa,3093526,5.30364520048603,87.71968408262464,3.2569866342648868,0.2897934386391251,1.699392466585662,0.0551640340218712,53017.75304136253,1534595,1558931
16,1,Kansas,2892987,11.644342105263148,75.95828947368425,6.5678947368421,0.7339473684210529,2.331052631578946,2.7644736842105004,53885.612648221344,1439862,1453125
17,2,Kentucky,4397353,3.222993688007212,85.2307484220019,8.272317403065832,0.1666366095581602,1.1298467087466182,0.0464382326420198,45285.80253623189,2164208,2233145
18,3,Louisiana,4625253,4.866489361702128,54.9785460992908,36.32624113475175,0.4843085106382981,1.669060283687941,0.0391843971631205,44957.99376114082,2261156,2364097
19,4,Maine,1329100,1.4319088319088318,93.70740740740736,1.1344729344729356,0.7883190883190888,0.9658119658119668,0.0156695156695156,49181.97435897436,650081,679019
20,5,Maryland,5930538,8.47249820014399,52.679049676026,30.6777537796976,0.2030957523398127,5.325413966882652,0.0362850971922246,78765.40072463769,2872643,2489527
21,1,Massachusetts,6705586,11.461065573770476,73.04105191256845,6.83312841530056,0.12827868852459,5.835655737704914,0.0198087431693989,72838.93672627235,3249650,3455936
22,2,Michigan,9900571,4.634992732558134,72.38172238372084,17.633103197674423,0.4844113372093031,2.42311046511628,0.0195494186046511,51201.83003663004,4861973,5038598
23,3,Minnesota,5419171,5.152923538230896,81.42706146926535,5.65982008995502,1.069040479760119,4.156071964017996,0.0329085457271364,62820.833959429,2692166,2727005
24,4,Mississippi,2988081,2.842401215805473,53.28632218844981,41.49194528875381,0.3899696048632216,0.8764437689969605,0.0150455927051671,38909.91920731707,1451723,1536358
25,5,Missouri,6045448,4.037247838616718,77.508069164265,14.122118155619594,0.3633285302593664,1.6244956772334296,0.1016570605187319,49763.98772563177,2964003,3081445
26,1,Montana,1014699,3.2688888888888896,86.41555555555554,0.4292592592592591,7.060740740740743,0.5703703703703705,0.0722222222222222,47645.682835820895,510163,2489527
27,2,Nebraska,1869365,9.203759398496237,81.13947368421056,4.956203007518794,0.8644736842105263,1.8590225563909788,0.0571428571428571,55916.469696969696,929606,939759
28,3,Nevada,2798636,27.10088365243005,53.23932253313698,7.739617083946994,1.0871870397643593,7.095729013254786,0.5745213549337267,55526.52507374632,1407735,1390901
29,4,New Hampshire,1324201,3.32191780821918,91.31917808219184,1.2277397260273974,0.1428082191780822,2.191438356164382,0.0160958904109589,68728.8595890411,653484,670717
30,5,New Jersey,8904413,18.74950049950049,56.488761238761285,14.387862137862117,0.1153346653346651,8.159990009990018,0.0313186813186813,76581.08341708542,4343027,4561386
31,1,New Mexico,2084117,45.28293172690762,40.69799196787147,1.7550200803212852,9.248594377510043,1.23433734939759,0.0427710843373493,47329.96787148595,1032414,1051703
32,2,New York,19673174,17.241424747786684,56.4701050030883,15.668046119003517,0.3216388717315211,7.897158739962935,0.0234506897261684,64290.74911292006,9541801,10131373
33,3,North Carolina,9845333,8.464762782128062,64.5976508521419,21.3951174573929,1.0854905573468434,2.317457392906495,0.0523261169967756,49937.46413697362,4795408,5049925
34,4,North Dakota,721640,2.832682926829267,87.44829268292683,1.2843902439024395,5.651219512195119,0.9619512195121944,1.8214634146341382,58188.112195121954,367963,353677
35,5,Ohio,11575977,3.672084325059504,75.90306018361096,16.207276436586163,0.1688881332879971,1.6210812648758952,0.0226453587215233,49655.24846625767,5662893,5913084
36,1,Oklahoma,3849733,10.0799043062201,66.05942583732046,8.314736842105255,6.716842105263157,1.8011483253588516,0.1062200956937798,48100.85426653883,1906944,1942789
37,2,Oregon,3939233,11.441212121212132,78.39551515151517,1.730787878787877,1.0002424242424257,3.594909090909088,0.3453333333333332,54271.90181818182,1948453,1990780
38,3,Pennsylvania,12779559,6.128013741411624,77.38385384134914,11.633947532791996,0.1192692067457838,2.797751405371649,0.0193941286695815,56170.46451005025,6245344,6534215
39,4,Puerto Rico,3583073,98.89357384441936,0.7736189402480265,0.0925591882750846,0.0028184892897406,0.0751972942502818,0.0012401352874859,20720.538285714287,1713860,1869213
40,5,Rhode Island,1053661,13.356666666666678,74.32541666666665,5.68291666666667,0.3462500000000001,3.2474999999999983,0.0358333333333333,59125.270833333336,510388,543273
41,1,South Carolina,4777576,5.056684981684991,62.888736263736185,28.75091575091577,0.2923992673992673,1.249175824175822,0.0469780219780219,46296.80776340111,2322409,2455167
42,2,South Dakota,843190,3.2396396396396376,82.50090090090092,1.4238738738738752,9.417567567567566,1.0193693693693688,0.0418918918918918,51805.40540540541,423477,419713
43,3,Tennessee,6499615,4.720026972353339,73.49008766014822,18.283816587997297,0.2266351989211059,1.4072825354012126,0.0431557653405259,47328.08361658736,3167756,3331859
44,4,Texas,26538614,38.04673809068304,44.687908934379145,11.65004782858236,0.2611440596900712,3.6696958102161834,0.0688157643007461,55874.522600500095,13171316,13367298
45,5,Utah,2903379,13.468376068376063,79.40683760683764,1.0179487179487194,1.0813675213675222,2.196068376068376,0.8259829059829059,63488.91780821918,1459229,1444150
46,1,Vermont,626604,1.6092896174863391,93.9830601092896,0.9808743169398908,0.301639344262295,1.23879781420765,0.0306010928961748,55602.96721311475,308573,318031
47,2,Virginia,8256630,8.0110164981373,63.271048430015945,20.17599787120807,0.2124534326769558,5.455242150079845,0.0647152740819584,72866.01341201717,4060948,4195682
48,3,Washington,6985464,11.140968858131506,72.03840830449816,3.384429065743947,1.4107266435986163,7.022006920415224,0.609896193771627,64493.76768377254,3487725,3497739
49,4,West Virginia,1851420,1.290909090909089,92.17623966942146,3.662809917355372,0.1526859504132231,0.6824380165289253,0.0264462809917355,41437.11157024794,913631,937789
50,5,Wisconsin,5742117,6.683333333333334,79.86400862068966,8.195186781609202,0.9536637931034484,2.404238505747124,0.0208333333333333,53898.889208633096,2851385,2890732
